GlobalId,LongName,Level,Area,,
2ntLcF1$98DQcsKvq8acJ5,SHARED OFFICE 18P,Level 16,138.1,,
2ntLcF1$98DQcsKvq8aaiX,SHARED OFFICE 18P,Level 20,134.66,,
30FLBZwDb7OvlNxjspRFqu,SHARED OFFICE 18P,Level 4,134.66,,
2maVW5Fa11n9pwdQjvDG34,SHARED OFFICE 18P,Level 8,138.1,,
3UmopjK$zFNODg7TkMEa9Y,SHARED OFFICE 20P,Level 10,149.21,,
3GpDz2ghn1NueIgvKP3xMY,SHARED OFFICE 20P,Level 11,148.64,,
2ntLcF1$98DQcsKvq8ablQ,SHARED OFFICE 20P,Level 12,149.22,,
2ntLcF1$98DQcsKvq8aYxf,SHARED OFFICE 20P,Level 13,146.69,,
2ntLcF1$98DQcsKvq8ad_R,SHARED OFFICE 20P,Level 14,150.41,,
2ntLcF1$98DQcsKvq8adCF,SHARED OFFICE 20P,Level 15,172.55,,
2ntLcF1$98DQcsKvq8acGr,SHARED OFFICE 20P,Level 16,148.54,,
2ntLcF1$98DQcsKvq8afUO,SHARED OFFICE 20P,Level 17,150.55,,
2ntLcF1$98DQcsKvq8aeV0,SHARED OFFICE 20P,Level 18,149.21,,
2ntLcF1$98DQcsKvq8ahK0,SHARED OFFICE 20P,Level 19,148.64,,
2ntLcF1$98DQcsKvq8ab1j,SHARED OFFICE 20P,Level 20,160.61,,
2ntLcF1$98DQcsKvq8aZWF,SHARED OFFICE 20P,Level 21,146.69,,
0r4MQOxYzBNhcZoTCY2XZQ,SHARED OFFICE 20P,Level 4,150.61,,
0r4MQOxYzBNhcZoTCY2XH_,SHARED OFFICE 20P,Level 5,146.69,,
2maVW5Fa11n9pwdQjvDHYj,SHARED OFFICE 20P,Level 6,150.41,,
2maVW5Fa11n9pwdQjvDHnI,SHARED OFFICE 20P,Level 7,172.55,,
2maVW5Fa11n9pwdQjvDG3K,SHARED OFFICE 20P,Level 8,148.54,,
2maVW5Fa11n9pwdQjvDGP7,SHARED OFFICE 20P,Level 9,159.55,,
2ntLcF1$98DQcsKvq8abR4,SHARED OFFICE 30P,Level 12,216.49,,
2ntLcF1$98DQcsKvq8aYuj,SHARED OFFICE 30P,Level 13,219.8,,
2ntLcF1$98DQcsKvq8ac9R,SHARED OFFICE 30P,Level 16,218.89,,
2ntLcF1$98DQcsKvq8afJH,SHARED OFFICE 30P,Level 17,221.56,,
2ntLcF1$98DQcsKvq8aajV,SHARED OFFICE 30P,Level 20,216.49,,
2ntLcF1$98DQcsKvq8aZXJ,SHARED OFFICE 30P,Level 21,219.8,,
30FLBZwDb7OvlNxjspRFWh,SHARED OFFICE 30P,Level 4,216.49,,
0r4MQOxYzBNhcZoTCY2XK2,SHARED OFFICE 30P,Level 5,219.8,,
3TMTeeND11ohANUlSN2TVQ,SHARED OFFICE 30P,Level 8,218.9,,
3TMTeeND11ohANUlSN2Ov9,SHARED OFFICE 30P,Level 9,221.56,,
3UmopjK$zFNODg7TkMEa9X,SHARED OFFICE 32P,Level 10,247.35,,
2ntLcF1$98DQcsKvq8ad_N,SHARED OFFICE 32P,Level 14,244.24,,
2ntLcF1$98DQcsKvq8aeV2,SHARED OFFICE 32P,Level 18,248.88,,
2maVW5Fa11n9pwdQjvDHYf,SHARED OFFICE 32P,Level 6,244.24,,
3UmopjK$zFNODg7TkMEaEO,SHARED OFFICE 38P,Level 10,261.99,,
